Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
17-01-2001,86.84493009,86.97575096,85.42602683,85.9493103,7851400,17,2,3,1,2001
18-01-2001,85.93925704,87.39841305,85.61723641,86.8046875,8107000,18,3,3,1,2001
19-01-2001,87.71038472,87.71038472,86.22103904,86.31160736,7782500,19,4,3,1,2001
22-01-2001,86.46253319,87.44872131,86.01975486,86.88518524,7050900,22,0,4,1,2001
23-01-2001,86.60340396,88.01224391,86.40214111,87.56946564,8463100,23,1,4,1,2001
24-01-2001,87.75056484,88.43485824,87.48892325,87.83106995,6199900,24,2,4,1,2001
25-01-2001,87.75065581,88.39469732,87.36825616,87.60977173,10818300,25,3,4,1,2001
26-01-2001,87.04624277,87.67015804,86.59340104,87.50914764,7136800,26,4,4,1,2001
29-01-2001,87.26759435,88.16924823,87.18386584,87.9760437,6705900,29,0,5,1,2001
30-01-2001,87.78281669,88.82616028,87.45434939,88.74887848,7069100,30,1,5,1,2001
31-01-2001,88.49123465,89.32848996,87.97600968,88.24650574,9706900,31,2,5,1,2001
01-02-2001,88.29806546,88.84549466,87.75062643,88.83261108,8239100,1,3,5,2,2001
02-02-2001,88.4912429,88.87123462,86.78453792,86.81674194,8276600,2,4,5,2,2001
05-02-2001,86.81675124,87.55095777,86.78454721,87.4543457,4352900,5,0,6,2,2001
06-02-2001,87.13880072,88.04045472,87.08727623,87.19676208,7106700,6,1,6,2,2001
07-02-2001,86.76526162,87.20320507,86.09545303,86.74594116,5748700,7,2,6,2,2001
08-02-2001,86.81681254,87.20323162,85.72194375,85.7348175,5943300,8,3,6,2,2001
09-02-2001,85.88287043,85.88287043,84.53681729,84.91036224,9913000,9,4,6,2,2001
12-02-2001,84.8202301,85.97950631,84.8202301,85.88290405,5804400,12,0,7,2,2001
13-02-2001,86.10831392,86.4110141,85.01344576,85.18089294,6587600,13,1,7,2,2001
14-02-2001,85.43205253,85.43205253,84.15041696,85.05207062,8400100,14,2,7,2,2001
15-02-2001,85.55444419,85.99239739,85.00701498,85.87646484,5929800,15,3,7,2,2001
16-02-2001,84.36938453,84.55615212,83.27451662,83.98295593,6434900,16,4,7,2,2001
20-02-2001,84.39513565,84.45954369,82.5016632,82.68843079,5760000,20,1,8,2,2001
21-02-2001,82.37288577,82.97828127,80.82718562,80.90447235,10910800,21,2,8,2,2001
22-02-2001,81.37462313,81.49699255,79.22996426,81.02684021,21281600,22,3,8,2,2001
23-02-2001,80.55667972,80.8529381,78.44422524,80.47939301,20173000,23,4,8,2,2001
26-02-2001,81.0203882,82.19254303,80.18313264,82.19254303,11503700,26,0,9,2,2001
27-02-2001,81.66441899,82.33421745,80.83360532,81.43256378,11415000,27,1,9,2,2001
28-02-2001,81.63220488,81.69016622,79.39093982,79.82888794,14825800,28,2,9,2,2001
01-03-2001,79.89331598,80.24753571,78.4120192,80.24753571,14672000,1,3,9,3,2001
